Audiofile	Speaker_Number	Speaker_Side	Dyad	Total.Words	Total.Variable.Contexts	Total.Overt.Disfluencies	Total.Seconds.Silence	Particle.Placement	Dative.Alternation	Genitive.Alternation	Comparatives	That.v.zero.Complements	Infinitive.v.Gerund.Complements	That.v.Gerund	Future.Reference	Deontic.Modality	Stative.Possession	Restricted.Relativizers	Not.v.No.Negation	Contraction	Indefinite.Pronouns	Coordinated.Pronouns	Quotatives	try+to.v.and.-ing	tried+to.v.ing	Unrestrictive.Relativizers	Plural.Existentials
2001	1044	B	FEMALE+FEMALE	452	20	6	41.612	1	0	4	0	5	0	0	0	3	0	0	1	3	3	0	0	0	0	0	0
2009	1055	A	FEMALE+FEMALE	559	25	4	66.49975	3	0	10	0	1	3	0	2	0	1	2	0	2	0	1	0	0	0	0	0
2009	1126	B	FEMALE+FEMALE	597	26	6	66.49975	1	1	13	0	3	0	0	1	2	4	0	0	1	0	0	0	0	0	0	0
2014	1053	B	FEMALE+FEMALE	517	40	4	53.6075625	0	2	5	1	16	0	0	4	0	2	1	2	1	3	0	3	0	0	0	0
2018	1044	B	FEMALE+FEMALE	891	55	31	168.92125	1	2	16	0	14	1	1	2	4	5	4	1	2	0	0	1	0	0	0	1
2022	1138	A	FEMALE+FEMALE	732	40	47	165.803625	6	0	13	0	2	1	0	3	1	5	8	0	0	0	0	1	0	0	0	0
2023	1033	A	FEMALE+FEMALE	1112	59	52	144.816	10	0	13	0	10	1	1	5	3	8	1	1	1	0	0	4	1	0	0	0
2023	1135	B	FEMALE+FEMALE	876	24	37	144.816	1	0	2	0	9	0	0	0	4	1	2	1	1	0	0	2	1	0	0	0
2027	1096	B	FEMALE+FEMALE	1116	33	48	30.52	2	0	4	0	7	0	1	8	0	0	0	1	2	3	0	1	4	0	0	0
2045	1033	A	FEMALE+FEMALE	880	36	43	131.008	6	2	10	0	4	0	0	5	1	0	1	0	2	1	0	1	0	0	3	0
2045	1055	B	FEMALE+FEMALE	442	19	8	131.008	0	0	2	0	0	3	0	4	1	2	2	0	3	0	0	0	0	0	2	0
2053	1135	B	FEMALE+FEMALE	642	27	46	168.964	3	0	5	0	2	0	0	1	0	6	1	1	2	0	0	3	0	0	1	2
2056	1011	B	FEMALE+FEMALE	426	30	5	131.728	0	0	3	0	4	1	0	0	3	8	2	1	4	2	0	0	0	0	2	0
2056	1033	A	FEMALE+FEMALE	748	48	41	131.728	1	1	17	0	3	0	0	1	1	4	3	3	4	3	0	1	0	0	5	1
2062	1096	B	FEMALE+MALE	1378	74	115	57.44	2	0	11	0	12	1	1	12	5	7	10	1	4	1	0	2	0	0	3	2
2082	1055	A	FEMALE+FEMALE	510	26	9	181.1201875	2	0	3	0	6	0	0	3	2	4	1	1	1	2	0	0	0	0	1	0
2083	1018	B	FEMALE+MALE	858	40	12	85.27	0	1	8	0	7	1	2	0	2	1	7	3	4	0	0	0	0	0	1	3
2102	1138	A	FEMALE+MALE	1057	58	62	100.984	3	0	15	0	12	1	0	4	1	6	6	0	6	1	0	0	1	0	2	0
2107	1053	A	FEMALE+FEMALE	1099	72	22	45.2785	2	0	20	0	13	1	0	3	1	6	5	6	5	4	0	3	0	0	2	1
2107	1135	B	FEMALE+FEMALE	1044	60	72	45.2785	2	0	15	0	4	2	0	5	3	11	2	1	4	1	1	6	1	0	2	0
2111	1055	A	FEMALE+FEMALE	679	44	36	98.476	7	0	6	1	6	0	0	1	2	4	2	5	3	2	0	0	0	0	2	3
2111	1106	B	FEMALE+FEMALE	1206	72	84	98.476	4	0	15	0	12	3	0	4	5	6	7	2	1	2	0	3	0	0	8	0
2123	1044	B	FEMALE+MALE	204	10	3	77.548	0	0	2	2	1	2	0	0	0	1	0	0	1	0	0	0	0	0	1	0
2131	1126	B	FEMALE+MALE	1114	50	134	134.33	0	1	14	0	13	0	1	1	0	6	0	1	8	1	0	0	0	0	4	0
2139	1018	A	FEMALE+MALE	930	61	36	196.544	8	0	10	0	7	1	1	5	8	4	5	0	3	1	0	5	0	0	1	2
2149	1106	B	FEMALE+MALE	972	45	69	105.058	5	0	5	0	18	0	0	2	0	4	2	0	5	0	0	0	0	0	4	0
2151	1126	B	FEMALE+MALE	263	9	27	36.708	0	0	1	0	2	0	0	0	1	0	0	1	2	0	0	0	0	0	2	0
2155	1138	B	FEMALE+FEMALE	1439	100	110	126.89475	1	0	22	0	9	0	0	7	2	19	9	3	3	7	0	0	0	0	17	1
2166	1011	B	FEMALE+MALE	879	48	13	293.476625	2	2	12	0	6	0	0	3	0	6	8	0	4	1	0	0	0	0	2	2
2167	1033	B	FEMALE+FEMALE	983	36	86	335.46025	1	6	7	0	5	0	0	5	0	6	2	0	1	1	0	0	0	0	2	0
2171	1055	B	FEMALE+MALE	1020	62	78	221.368	5	4	12	0	7	1	0	3	1	2	6	0	1	9	1	2	1	0	6	1
2173	1018	A	FEMALE+FEMALE	1478	64	18	125.284	1	0	8	0	10	0	0	13	3	3	6	1	4	3	0	10	0	0	1	1
2189	1033	B	FEMALE+MALE	364	11	18	172.144	0	0	0	0	2	0	0	0	0	1	1	1	5	0	0	1	0	0	0	0
2193	1106	A	FEMALE+MALE	1106	53	14	380.1590625	0	2	7	0	18	0	0	2	3	6	1	1	2	3	0	3	0	0	5	0
2199	1138	B	FEMALE+MALE	1313	71	6	251.305125	8	0	15	1	1	1	0	13	12	7	3	2	3	3	0	0	0	0	0	2
2226	1106	B	FEMALE+FEMALE	885	37	73	139.466125	0	0	9	0	8	0	0	1	2	10	2	2	1	0	0	0	0	0	2	0
2227	1401	B	FEMALE+MALE	423	5	18	48.336	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
2231	1138	B	FEMALE+FEMALE	1036	59	58	118.022	2	2	8	0	15	1	0	4	2	3	5	0	4	4	0	0	0	0	9	0
2238	1096	B	FEMALE+FEMALE	1413	59	17	27.6	3	0	15	1	16	0	0	2	1	1	2	1	4	4	0	0	1	0	6	2
2245	1126	B	FEMALE+MALE	909	40	11	61.484	0	0	11	0	6	0	0	3	0	5	2	0	3	7	0	2	0	0	1	0
2249	1135	B	FEMALE+FEMALE	708	50	81	100.17	6	0	12	0	9	2	1	4	1	6	5	0	1	2	0	0	0	0	0	1
2251	1401	A	FEMALE+MALE	402	12	8	164.938	0	0	0	0	2	1	0	0	0	1	2	0	1	0	0	0	0	0	3	2
2259	1055	A	FEMALE+MALE	298	18	34	206.930125	1	0	3	0	4	0	0	0	0	3	2	3	1	0	0	0	0	0	1	0
2264	1096	A	FEMALE+FEMALE	723	42	49	46.926	6	1	5	0	7	2	0	3	2	5	1	2	0	2	0	3	0	0	2	1
2267	1126	B	FEMALE+FEMALE	1136	53	29	58.096	1	0	12	0	8	0	0	8	0	4	2	5	5	4	0	2	0	0	1	1
2277	1033	A	FEMALE+FEMALE	715	46	30	152.3953125	0	1	10	0	6	0	0	3	3	6	4	0	6	1	0	1	0	0	3	2
2286	1178	B	FEMALE+MALE	666	32	18	216.772	0	0	13	0	2	0	0	0	0	7	2	2	3	0	0	0	0	0	2	1
2287	1135	B	FEMALE+FEMALE	1030	42	139	193.108	0	0	2	0	8	0	0	12	2	2	0	2	4	4	0	4	0	1	1	0
2290	1053	B	FEMALE+MALE	861	41	63	198.224	2	0	11	0	4	0	0	2	1	1	3	4	3	2	0	2	1	0	4	1
2314	1055	A	FEMALE+FEMALE	742	58	61	151.262	0	0	13	0	10	0	0	2	2	8	4	0	3	6	0	1	0	0	9	0
2318	1178	B	FEMALE+FEMALE	697	48	15	129.942	0	0	6	0	13	0	0	3	1	4	2	1	0	4	0	0	0	0	12	2
2320	1033	B	FEMALE+MALE	1016	53	52	180.04	6	1	14	0	6	0	0	3	2	10	3	0	4	0	1	1	0	0	2	0
